frequency_hz,V6,V8,inline-4,inline-6,single-cylinder
2519.384765625,-12.606683858321038,-14.778271706200602,-13.74299273159331,-13.242397657010438,-11.457920877907219
2530.1513671875,-12.623162227970887,-14.79418489016637,-13.788259321510814,-13.272874296199513,-11.458158792725198
2540.91796875,-12.621731303156437,-14.838551237593801,-13.810612897612593,-13.288165338150145,-11.47158799094383
2551.6845703125,-12.608360827245619,-14.816429370377229,-13.796807888969454,-13.313323139826563,-11.48402798914396
2562.451171875,-12.63307652890526,-14.823735704847596,-13.849518820283283,-13.336788745816785,-11.465108846552436
2573.2177734375,-12.656308906314603,-14.80903986800277,-13.829116550539798,-13.354262882206546,-11.458604969515585
2583.984375,-12.666700659165851,-14.805891347748087,-13.869767684140133,-13.356334260423475,-11.45079031919463
2594.7509765625,-12.69414067771994,-14.815259374429559,-13.899169429013327,-13.410098788752459,-11.49282859365047
2605.517578125,-12.685049080360212,-14.827439930346493,-13.938970391890535,-13.439529455544944,-11.475933133425016
2616.2841796875,-12.710417455775115,-14.854668887682177,-13.982535558079862,-13.447859794332327,-11.474639849817104
2627.05078125,-12.718321072978522,-14.870819519249302,-14.027607736741027,-13.49812915915669,-11.479321096562755
2637.8173828125,-12.735078894993968,-14.872534859147645,-14.085425366646017,-13.519196347864904,-11.493084631997904
2648.583984375,-12.774961070309484,-14.925761859944654,-14.149814656467573,-13.566492736741788,-11.484238630171463
2659.3505859375,-12.757414929064286,-14.963598686740095,-14.14889605732147,-13.609522721838735,-11.52153035106973
2670.1171875,-12.778784642139957,-15.007547530034387,-14.222705990125302,-13.652987268524988,-11.519979864278989
2680.8837890625,-12.77277268765522,-15.070697430199921,-14.240765851616086,-13.701140872228708,-11.56100687011195
2691.650390625,-12.800018411468333,-15.146643925448267,-14.2903644717851,-13.742060201843637,-11.577086888479744
2702.4169921875,-12.85524562327728,-15.189190892861532,-14.315355251920211,-13.805432528704847,-11.632880869056885
2713.18359375,-12.896684982149136,-15.241611948180584,-14.411664564736672,-13.865586453875181,-11.656632711831419
2723.9501953125,-12.925404698587222,-15.292605253344924,-14.444892305402496,-13.940967599629055,-11.690533538143912
2734.716796875,-12.962361495881531,-15.310662063977514,-14.492379951667084,-14.03060302783012,-11.708248690334237
2745.4833984375,-12.976935369081378,-15.359334405044233,-14.499975894452819,-14.090505425078332,-11.735144594319376
2756.25,-13.047463581010774,-15.384395073376698,-14.559985516748952,-14.160288603059207,-11.728653780774385
2767.0166015625,-13.064620241564324,-15.437469623844038,-14.587776126061941,-14.244730091187074,-11.760196643486209
2777.783203125,-13.130373880944045,-15.454801929440418,-14.618049414487963,-14.329282096810484,-11.769697511206296
2788.5498046875,-13.179672365073099,-15.473480677020628,-14.625871828346627,-14.38624448218413,-11.76212758146435
2799.31640625,-13.189108835783227,-15.500864505659965,-14.699097006157391,-14.416539051858136,-11.757570761032467
2810.0830078125,-13.226921551872774,-15.539452016024725,-14.687590640238707,-14.46455951637625,-11.786351396918013
2820.849609375,-13.248042857400321,-15.552424548703403,-14.721897158468133,-14.494344443882879,-11.786351225096245
2831.6162109375,-13.28458473474064,-15.632825858309399,-14.735302280909512,-14.495408881096218,-11.84771754257533
2842.3828125,-13.311862537057973,-15.665622018319517,-14.788833223647485,-14.527245047582788,-11.853767743103703
